formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group
LiAlGe,mp-5920,"[[0.0, 0.0, 0.0, 0.594, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.594, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.594]]",0.5943800000000006,1975,0,Orthorhombic,222
LiVPO4,mp-763489,"[[0.619, -0.256, -0.783, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.177], [0.0, 0.0, 0.0, 0.0, -0.501, 0.0]]",1.0300199000990222,1976,0,Cubic,-43m
ErCuSe2,mp-675180,"[[0.0, 0.0, 0.0, 0.0, -0.209, 0.265], [0.265, -0.265, 0.0, -0.209, 0.0, 0.0], [-0.262, -0.262, -0.294, 0.0, 0.0, 0.0]]",0.47328927348929856,1977,0,Trigonal,3m
Co(HO)2,mp-625939,"[[0.0, 0.0, 0.0, -0.194, 0.0, -0.156], [-0.033, -0.716, -0.307, 0.0, -0.234, 0.0], [0.0, 0.0, 0.0, -0.375, 0.0, -0.21]]",0.8142547123595089,1978,0,Hexagonal,6mm
NaHO,mp-625051,"[[0.0, 0.0, 0.0, 0.0, -0.13, -1.026], [-1.026, 1.026, 0.0, -0.13, 0.0, 0.0], [0.579, 0.579, 0.339, 0.0, 0.0, 0.0]]",1.456907279377553,1979,0,Cubic,-43m
Li4Ga3Si3ClO12,mp-554203,"[[0.0, 0.0, 0.0, 0.145, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.145, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.145]]",0.14462999999999993,1980,0,Cubic,-43m
KMnPH2O5,mp-23973,"[[0.0, 0.0, 0.0, 0.0, -0.45, 0.0], [0.0, 0.0, 0.0, -0.12, 0.0, 0.0], [0.259, -0.029, 0.321, 0.0, 0.0, 0.0]]",0.44974,1981,0,Orthorhombic,222
NbTl3Se4,mp-1025396,"[[0.0, 0.0, 0.0, 0.196, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.196, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.196]]",0.19552000000000005,1982,0,Orthorhombic,222
AsPbClO2,mp-560394,"[[0.0, 0.0, 0.0, 0.22, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.371, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.058]]",0.37144999999999995,1983,0,Tetragonal,4mm
Li2CoSnO4,mp-754851,"[[0.0, 0.0, 0.0, 0.0, 0.094, 0.0], [0.0, 0.0, 0.0, -0.094, 0.0, 0.0], [-0.93, 0.93, 0.0, 0.0, 0.0, 0.0]]",1.3152115419391666,1984,0,Triclinic,1
Li2CuPO4,mp-27063,"[[-0.064, -0.065, 0.015, 0.0, -0.065, 0.0], [0.0, 0.0, 0.0, -0.27, 0.0, -0.149], [-0.18, -0.325, 0.478, 0.0, 0.0, 0.0]]",0.6089218641711723,1985,0,Orthorhombic,222
KPH2SO3,mp-643033,"[[0.007, 0.395, 0.032, 0.0, -0.059, 0.0], [0.0, 0.0, 0.0, -0.271, 0.0, 0.341], [0.032, -0.184, -0.095, 0.0, -0.008, 0.0]]",0.4439484551524308,1986,0,Triclinic,1
NaNb(CuS2)2,mp-6181,"[[0.0, 0.0, 0.0, 0.0, -11.854, 0.0], [0.0, 0.0, 0.0, -0.641, 0.0, 0.0], [-0.262, -0.42, -0.343, 0.0, 0.0, 0.0]]",11.854209999999997,1987,0,Hexagonal,-6m2
CdCl2,mp-632403,"[[0.0, 0.0, 0.0, 0.43, 0.0, 0.006], [0.037, 0.186, 0.094, 0.0, 0.438, 0.0], [0.0, 0.0, 0.0, 0.025, 0.0, 0.272]]",0.4863184629358461,1988,0,Cubic,-43m
Ga2PbO4,mp-20496,"[[0.0, 0.0, 0.0, 0.0, 0.285, 0.0], [0.0, 0.0, 0.0, 0.634, 0.0, 0.0], [0.631, 0.49, -0.716, 0.0, 0.0, 0.0]]",1.073001449160209,1989,0,Triclinic,1
Ca(ClO3)2,mp-753813,"[[0.0, 0.0, 0.0, 0.0, 0.458, 0.0], [0.0, 0.0, 0.0, -0.085, 0.0, 0.0], [0.218, -0.077, -0.128, 0.0, 0.0, 0.0]]",0.45844999999999997,1990,0,Trigonal,3
Cu2HgGeS4,mp-557574,"[[0.0, 0.0, 0.0, 0.0, 0.075, 0.0], [0.0, 0.0, 0.0, 0.176, 0.0, 0.0], [0.249, 0.203, -0.304, 0.0, 0.0, 0.0]]",0.44245092236314754,1991,0,Monoclinic,m
H20C3(N2O5)2,mp-766262,"[[-0.032, -0.02, 0.036, 0.019, 0.022, 0.012], [0.019, 0.014, -0.023, -0.022, 0.002, -0.008], [0.015, -0.015, 0.0, -0.015, 0.023, 0.007]]",0.07100940077957141,1992,0,Cubic,-43m
